===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
793,,793,2022-01-24 20:12:00,1840.335,1840.825,1839.96,1840.27,0.0,-1.0,MyStrategy,793,738179.8416666667,Broker,793,10000.0,10000.0,BuySell,793,,,Trades - Net Profit/Loss,793,,
794,,794,2022-01-24 20:13:00,1840.27,1840.38,1839.885,1839.95,0.0,-1.0,MyStrategy,794,738179.8423611111,Broker,794,10000.0,10000.0,BuySell,794,,,Trades - Net Profit/Loss,794,,
795,,795,2022-01-24 20:14:00,1839.95,1840.395,1839.915,1840.16,0.0,-1.0,MyStrategy,795,738179.8430555556,Broker,795,10000.0,10000.0,BuySell,795,,,Trades - Net Profit/Loss,795,,
796,,796,2022-01-24 20:15:00,1840.16,1840.41,1840.045,1840.34,0.0,-1.0,MyStrategy,796,738179.84375,Broker,796,10000.0,10000.0,BuySell,796,,,Trades - Net Profit/Loss,796,,
797,,797,2022-01-24 20:16:00,1840.34,1840.45,1840.035,1840.135,0.0,-1.0,MyStrategy,797,738179.8444444444,Broker,797,10000.0,10000.0,BuySell,797,,,Trades - Net Profit/Loss,797,,
798,,798,2022-01-24 20:17:00,1840.135,1840.245,1839.605,1839.765,0.0,-1.0,MyStrategy,798,738179.8451388889,Broker,798,10000.0,10000.0,BuySell,798,,,Trades - Net Profit/Loss,798,,
799,,799,2022-01-24 20:18:00,1839.765,1839.89,1839.56,1839.61,0.0,-1.0,MyStrategy,799,738179.8458333333,Broker,799,10000.0,10000.0,BuySell,799,,,Trades - Net Profit/Loss,799,,
800,,800,2022-01-24 20:19:00,1839.61,1839.625,1839.345,1839.415,0.0,-1.0,MyStrategy,800,738179.8465277777,Broker,800,10000.0,10000.0,BuySell,800,,,Trades - Net Profit/Loss,800,,
801,,801,2022-01-24 20:20:00,1839.415,1839.59,1839.17,1839.225,0.0,-1.0,MyStrategy,801,738179.8472222222,Broker,801,10000.0,10000.0,BuySell,801,,,Trades - Net Profit/Loss,801,,
802,,802,2022-01-24 20:21:00,1839.225,1839.495,1838.825,1838.83,0.0,-1.0,MyStrategy,802,738179.8479166667,Broker,802,10000.0,10000.0,BuySell,802,,,Trades - Net Profit/Loss,802,,
